parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%,seqvar_num,seqvar_id,best,blast_genus,param_lab
beta[4],4673.429259411498,1.0003905026621573,0.8939270624121366,0.003994997815265214,0.27310797541711507,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.34432851092165984,1.4284778748131561,0.4467772763130061,1.3384321207977723,0.5411662354398938,1.2410706842292656,0.7142427243752327,1.074344931795333,0.6657176884950858,1.119313064849045,0.8270675067317828,0.9629330369606052,0.8995467205751401,4,f011d78941f0c011aca75252ef604d17,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[4]
f011d78941f0c011aca75252ef604d17"
beta[3],4734.690230575967,0.999470673467974,1.8023385784478654,0.011639387824270393,0.8008956305494882,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.19869939804284212,3.382884762599625,0.46028244954736086,3.108540275722387,0.7599832798241187,2.8173653184700713,1.27571521801503,2.3299111803267767,1.1435251030060112,2.4751794195350554,1.5985851149410628,2.0121468062003567,1.8205234796240344,3,adcde8c78396022660fd6204471c65c8,Staphylococcus aureus M1253,Staphylococcus,"beta[3]
adcde8c78396022660fd6204471c65c8"
beta[2],4647.421072511596,0.9989196312332753,0.5864736386681949,0.014803384396743806,1.0091762655605843,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.3469032676942252,2.58133021474258,-1.0195658532635832,2.2324663476026587,-0.6727936753268363,1.876491112254113,-0.11347104817981155,1.2703864982153068,-0.2785928707203516,1.4340516141928634,0.30898504564278795,0.8340094714323556,0.5800028293469836,2,5f5ef527ca94586f5971f7751b6230d5,Staphylococcus aureus,Staphylococcus,"beta[2]
5f5ef527ca94586f5971f7751b6230d5"
beta[1],4135.6533642798395,0.9989037999658597,1.8278204588803981,0.011714035994648925,0.7533184766063352,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.36310132270398976,3.26068592029641,0.5515572176557053,3.0510817717386765,0.8627379563517198,2.7964026112391753,1.3294992277457673,2.3559586938723474,1.2053843464709542,2.468137526578648,1.645264638661259,2.017344489292034,1.8338661541250199,1,241b2b5f1ea0f1065ca7027534068198,Staphylococcus aureus,Staphylococcus,"beta[1]
241b2b5f1ea0f1065ca7027534068198"
