parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%,seqvar_num,seqvar_id,best,blast_genus,param_lab
beta[5],5143.85395919768,1.0011404816108194,0.37071422696294104,0.002071718552584214,0.14858503475617002,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.0910683494176464,0.6877702074757676,0.13368454454063852,0.6256681239107369,0.1859387571239921,0.5627250933223183,0.2698233529444979,0.4631637023708397,0.2475996392778678,0.4941653958325331,0.3289192472700635,0.40105922845190667,0.3653008025905419,5,f011d78941f0c011aca75252ef604d17,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[5]
f011d78941f0c011aca75252ef604d17"
beta[4],5357.386577140888,0.9990352063086445,0.3045535247860166,0.002890790072101347,0.21158898106080695,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.08836809291243274,0.7698390894305843,-0.022295253734561142,0.6681730846916942,0.04848664225913868,0.5710350104268861,0.16598978284131244,0.43153811622830895,0.13761608632819472,0.46612613682664494,0.24187192511226227,0.34247613151677336,0.2901821306904536,4,adcde8c78396022660fd6204471c65c8,Staphylococcus aureus M1253,Staphylococcus,"beta[4]
adcde8c78396022660fd6204471c65c8"
beta[3],3955.4239050022647,1.0005469092299781,-0.5912278308885723,0.011247076792450291,0.7073529634938472,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-2.131385277640417,0.5984762421967813,-1.8387155360114373,0.45234419196934006,-1.5422609505450764,0.24608922138870784,-1.0420498090535568,-0.06913949004011542,-1.1715106602905234,0.028354578965311735,-0.7122627758980721,-0.34258944522076984,-0.526306237890017,3,5f5ef527ca94586f5971f7751b6230d5,Staphylococcus aureus,Staphylococcus,"beta[3]
5f5ef527ca94586f5971f7751b6230d5"
beta[2],3330.469660980172,1.0002264804588497,1.005891060121471,0.010376162275727836,0.5988106228387626,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.09902034600287823,2.408484658241411,0.2049968241744522,2.161250847737005,0.3244561575283582,1.8317468022529118,0.5672723206153034,1.3426892430012143,0.49674403453217214,1.482196864571069,0.7757204440661205,1.05958039080624,0.9134807720248668,2,241b2b5f1ea0f1065ca7027534068198,Staphylococcus aureus,Staphylococcus,"beta[2]
241b2b5f1ea0f1065ca7027534068198"
beta[1],3721.9935845016553,1.0019889079704416,-0.5747464156876362,0.010484039011675675,0.639611757444965,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-2.0124719972024563,0.41976156938622156,-1.7444366718041935,0.30963604492411745,-1.436072144748442,0.17565933591131302,-0.981013977698222,-0.08454915735268076,-1.1156386531355955,-0.006446931159724593,-0.6753832342821882,-0.3348818769286621,-0.48484207822935943,1,00329c76ea5751cfddfc03f7735565c2,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[1]
00329c76ea5751cfddfc03f7735565c2"
