parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%,seqvar_num,seqvar_id,best,blast_genus,param_lab
beta[5],2723.2570521910116,0.9999986500811642,0.6019624285973735,0.008292897405211833,0.4327634865938289,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.06316247103306573,1.6136249221904129,0.015707307857122516,1.3859956456346219,0.10732756255716805,1.1977654483405746,0.27889607481180223,0.8484032361989099,0.23211210129838938,0.9406090360331023,0.4438209119188966,0.650831458055229,0.5409255591540139,5,f011d78941f0c011aca75252ef604d17,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[5]
f011d78941f0c011aca75252ef604d17"
beta[4],6716.891233736346,0.9986810375890798,0.7117176535809717,0.008700976554458563,0.7131028240180738,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.6512520560613398,2.1201325345578987,-0.41917140749643955,1.8831150880474543,-0.1963862580749032,1.6471026470112164,0.2437739623239477,1.1707787378199848,0.11979367912944776,1.2936391106843779,0.5247818225448063,0.8701928443980915,0.7011338311063322,4,adcde8c78396022660fd6204471c65c8,Staphylococcus aureus M1253,Staphylococcus,"beta[4]
adcde8c78396022660fd6204471c65c8"
beta[3],6345.637900981063,0.9992758098085064,0.03717923585260145,0.012346731113284198,0.9835345790692607,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.89066470824178,1.9282554760048667,-1.5793552756495304,1.6137791660250813,-1.2062512153805638,1.3050194324382967,-0.6399785092049544,0.6990858029323068,-0.7866628356993792,0.8629661659813659,-0.21401261942225763,0.30565155106146275,0.04404397188231179,3,5f5ef527ca94586f5971f7751b6230d5,Staphylococcus aureus,Staphylococcus,"beta[3]
5f5ef527ca94586f5971f7751b6230d5"
beta[2],5831.653670700808,0.999359683220409,0.7851681473120149,0.009764054987160141,0.745634644790562,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.6420386304638858,2.388838741401789,-0.3985836456003011,2.100612560775104,-0.1259275586028681,1.7253339990870449,0.29240354200821833,1.2386781237441746,0.17203049164905312,1.3783992892916994,0.5748376747022883,0.9417413033970403,0.7503583072279617,2,241b2b5f1ea0f1065ca7027534068198,Staphylococcus aureus,Staphylococcus,"beta[2]
241b2b5f1ea0f1065ca7027534068198"
beta[1],5984.036478387034,0.9998543793639397,-0.02498415314371252,0.012470948209383397,0.9647095811401379,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.882257747359877,1.840939235676109,-1.6384465885171897,1.5751280143014752,-1.274130489908291,1.2210925597768476,-0.6754810320764009,0.6275046451285204,-0.8533325009642354,0.7959577801254699,-0.2598595795348873,0.22338470865499643,-0.0186007864522681,1,00329c76ea5751cfddfc03f7735565c2,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[1]
00329c76ea5751cfddfc03f7735565c2"
