parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%,seqvar_num,seqvar_id,best,blast_genus,param_lab
beta[4],3860.7337007750225,1.0002521137707283,0.6077232424798131,0.0059143100157369125,0.3674844856587477,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.034939742620009304,1.4735880368906182,0.09844786135986107,1.2959183567118053,0.18382797647324423,1.0988141229666768,0.3422728404902266,0.8205399380003437,0.295595733013535,0.8939461529458879,0.47017710836089516,0.6498313131203439,0.5546502301186922,4,f011d78941f0c011aca75252ef604d17,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[4]
f011d78941f0c011aca75252ef604d17"
beta[3],3085.360731701555,0.9995645518399376,1.0471943386963023,0.011031361010318695,0.6127482384165154,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.13773466867017875,2.4227094543505796,0.2267798853458116,2.1980949602536923,0.34335612520204556,1.8838261828407898,0.5906337590440623,1.414693262902108,0.5161908711307307,1.5545016359768753,0.7982489125072194,1.1123794730216894,0.9500908334963393,3,adcde8c78396022660fd6204471c65c8,Staphylococcus aureus M1253,Staphylococcus,"beta[3]
adcde8c78396022660fd6204471c65c8"
beta[2],4245.125182331608,1.0000477903937435,-0.47264997107912515,0.011150750887616264,0.7265229945569337,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-2.006082980200352,0.764467735547927,-1.7606733312606015,0.6205697544803246,-1.4472213463550443,0.42819653392650864,-0.9550910878049477,0.06147421797902608,-1.1013105860625123,0.16807244892878392,-0.6172190998800949,-0.2281622989670316,-0.4126132092881617,2,5f5ef527ca94586f5971f7751b6230d5,Staphylococcus aureus,Staphylococcus,"beta[2]
5f5ef527ca94586f5971f7751b6230d5"
beta[1],3251.6402938487226,1.0001809536489745,1.0689721034599047,0.011156664110442171,0.6361881954314792,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.11806437533601559,2.5409057082420934,0.2049257331570063,2.284710509921046,0.3485349681273562,1.9467533115068993,0.5943160200782192,1.4482639320741024,0.5164540979583226,1.578684040807631,0.8142897942662852,1.1462620057436892,0.9582302820710977,1,241b2b5f1ea0f1065ca7027534068198,Staphylococcus aureus,Staphylococcus,"beta[1]
241b2b5f1ea0f1065ca7027534068198"
