parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%,seqvar_num,seqvar_id,best,blast_genus,param_lab
beta[4],2641.8038254966973,1.0001678017917406,0.6956361632409788,0.007347460064558413,0.37764828483888135,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.13089777832785263,1.5628051161583179,0.18726492188058078,1.40332249169618,0.2699524600760456,1.212104487777106,0.4162761555528374,0.9116708232258185,0.37072870801230184,0.989508796445685,0.5477613966936514,0.7359964705816278,0.637093033923067,4,f011d78941f0c011aca75252ef604d17,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[4]
f011d78941f0c011aca75252ef604d17"
beta[3],2451.535244851148,1.001208402114177,1.083126756807089,0.012147992246275894,0.6014833040452849,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.20994466076472817,2.503839958471915,0.2875219566769719,2.176312494512667,0.40360508682655877,1.890785577611428,0.6229684618870025,1.4575089101118113,0.5548858935175519,1.5907489675795614,0.8283235383891535,1.1392040046582188,0.9805125360834526,3,adcde8c78396022660fd6204471c65c8,Staphylococcus aureus M1253,Staphylococcus,"beta[3]
adcde8c78396022660fd6204471c65c8"
beta[2],3717.387065679847,0.9995573837689877,-0.7456572057844801,0.011183397846022028,0.6818560006194915,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-2.2812671936260154,0.32428488928705923,-1.9921935266179707,0.21411235719707497,-1.7040895720148295,0.07180904006006385,-1.1794586415675807,-0.2360856636476784,-1.3144568400890146,-0.14616576599008077,-0.8493746324127229,-0.48019014882350997,-0.6585864700623714,2,5f5ef527ca94586f5971f7751b6230d5,Staphylococcus aureus,Staphylococcus,"beta[2]
5f5ef527ca94586f5971f7751b6230d5"
beta[1],2532.622379899716,1.0024021302954227,1.0576004124922889,0.011993503592014926,0.6035750647869547,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.20480276903515865,2.5053044970843197,0.28289278301702697,2.2136537017484286,0.38920155140790935,1.9149617772650804,0.5988414002572067,1.4044423385207196,0.5351678793892194,1.5426102157783228,0.8082003121755752,1.0976131452735742,0.9505950067713764,1,241b2b5f1ea0f1065ca7027534068198,Staphylococcus aureus,Staphylococcus,"beta[1]
241b2b5f1ea0f1065ca7027534068198"
