parameter,n_eff,Rhat,mean,se_mean,sd,typeS_2.5_pos,typeS_2.5_neg,typeS_5_pos,typeS_5_neg,typeS_10_pos,typeS_10_neg,typeS_25_pos,typeS_25_neg,2.5%,97.5%,5%,95%,10%,90%,25%,75%,20%,80%,40%,60%,50%,seqvar_num,seqvar_id,best,blast_genus,param_lab
beta[4],3691.3834508132304,0.9994533813751489,1.1470530692190117,0.010448561619834847,0.6348207132871903,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,0.14318656069880217,2.6032718786591484,0.26626605373132695,2.3397077116594813,0.4023496337666123,2.0070201958447274,0.6835115490988949,1.534726867884633,0.5936187887228525,1.6464300389967976,0.9052822319791711,1.235902493899482,1.063678512675871,4,f011d78941f0c011aca75252ef604d17,Staphylococcus aureus subsp. aureus IS-189,Staphylococcus,"beta[4]
f011d78941f0c011aca75252ef604d17"
beta[3],5169.810951015145,0.9993481825857755,1.1270499516254422,0.012082062879775837,0.8687172047777677,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.5909041914760789,2.779892204762909,-0.29519526848211347,2.5402341637156893,0.03025513851271782,2.2370514574271514,0.5535555294211612,1.707297417963795,0.38966949052194483,1.8462438560451033,0.9148026880047636,1.3468432807218194,1.1223659375497712,3,adcde8c78396022660fd6204471c65c8,Staphylococcus aureus M1253,Staphylococcus,"beta[3]
adcde8c78396022660fd6204471c65c8"
beta[2],5270.475855037433,0.999581849812886,0.045709032333148374,0.013523846010650152,0.9818047549151433,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.790725328313608,1.9731358659859268,-1.5603955383579733,1.6839048351848493,-1.2060279228601039,1.3220155162885106,-0.6185001919232213,0.6894645509187926,-0.7841097905987904,0.8779711611609089,-0.214169975222746,0.28158622031783065,0.0522831121128128,2,5f5ef527ca94586f5971f7751b6230d5,Staphylococcus aureus,Staphylococcus,"beta[2]
5f5ef527ca94586f5971f7751b6230d5"
beta[1],5923.770893378443,0.9988237357368432,1.1963458801773792,0.01109209541503879,0.8537146291401527,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,-0.4208517315129746,2.849834778427416,-0.19456445579986578,2.602894815493604,0.13627767556675208,2.303904593445378,0.6181787122005071,1.771728489333537,0.46066154275584414,1.9260728375726683,0.9604589093950378,1.3962410067116147,1.1822414231497138,1,241b2b5f1ea0f1065ca7027534068198,Staphylococcus aureus,Staphylococcus,"beta[1]
241b2b5f1ea0f1065ca7027534068198"
